Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MainPageTest,Edge Chromium 125,,,24-05-2024 10:50:24,24-05-2024 10:50:40,16.366s,PASSED
,,,,,,,
Test Cases/functional/main_page,Edge Chromium 125,,,24-05-2024 10:50:24,24-05-2024 10:50:40,16.187s,PASSED
"openBrowser("""")",Edge Chromium 125,,,24-05-2024 10:50:25,24-05-2024 10:50:27,1.935s,PASSED
maximizeWindow(),Edge Chromium 125,,,24-05-2024 10:50:27,24-05-2024 10:50:27,0.058s,PASSED
"navigateToUrl(""https://qr-web-h1fi.onrender.com/"")",Edge Chromium 125,,,24-05-2024 10:50:27,24-05-2024 10:50:32,5.895s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Home (current)""))",Edge Chromium 125,,,24-05-2024 10:50:32,24-05-2024 10:50:33,0.721s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Learn More""))",Edge Chromium 125,,,24-05-2024 10:50:33,24-05-2024 10:50:34,0.573s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_QRWeb/h2_How It Works""), ""How It Works"")",Edge Chromium 125,,,24-05-2024 10:50:34,24-05-2024 10:50:34,0.554s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_QRWeb/h4_Create Your Page""), ""Create Your Page"")",Edge Chromium 125,,,24-05-2024 10:50:34,24-05-2024 10:50:35,0.417s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_QRWeb/h4_Link It To QR""), ""Link It To QR"")",Edge Chromium 125,,,24-05-2024 10:50:35,24-05-2024 10:50:35,0.527s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_QRWeb/h4_Share It""), ""Share It"")",Edge Chromium 125,,,24-05-2024 10:50:35,24-05-2024 10:50:36,0.284s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_QRWeb/p_Effortlessly share your fantastic page wi_fa3955""), ""Effortlessly share your fantastic page with friends, colleagues, and the world, and let your creativity shine!"")",Edge Chromium 125,,,24-05-2024 10:50:36,24-05-2024 10:50:36,0.370s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_QRWeb/p_Easily connect your page to a QR code, si_cf769b""), STOP_ON_FAILURE)",Edge Chromium 125,,,24-05-2024 10:50:36,24-05-2024 10:50:36,0.345s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_About""))",Edge Chromium 125,,,24-05-2024 10:50:36,24-05-2024 10:50:37,0.337s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Sign Up Now""))",Edge Chromium 125,,,24-05-2024 10:50:37,24-05-2024 10:50:37,0.719s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Login_navbar-brand""))",Edge Chromium 125,,,24-05-2024 10:50:37,24-05-2024 10:50:38,0.503s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Contact""))",Edge Chromium 125,,,24-05-2024 10:50:38,24-05-2024 10:50:39,0.822s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/h3_Contact Us""))",Edge Chromium 125,,,24-05-2024 10:50:39,24-05-2024 10:50:39,0.369s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/figure_Student g. 50, Kaunas, Lithuania""))",Edge Chromium 125,,,24-05-2024 10:50:39,24-05-2024 10:50:39,0.342s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_About""))",Edge Chromium 125,,,24-05-2024 10:50:39,24-05-2024 10:50:40,0.315s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/h2_What Is QRWeb""))",Edge Chromium 125,,,24-05-2024 10:50:40,24-05-2024 10:50:40,0.325s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Log in""))",Edge Chromium 125,,,24-05-2024 10:50:40,24-05-2024 10:50:40,0.481s,PASSED
