Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 124.0.0.0,,,11-05-2024 16:37:02,11-05-2024 16:37:18,16.037s,PASSED
,,,,,,,
Test Cases/functional/register,Chrome 124.0.0.0,,,11-05-2024 16:37:02,11-05-2024 16:37:18,15.832s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,11-05-2024 16:37:02,11-05-2024 16:37:04,2.099s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,11-05-2024 16:37:04,11-05-2024 16:37:05,0.172s,PASSED
"navigateToUrl(""https://qr-web-h1fi.onrender.com/"")",Chrome 124.0.0.0,,,11-05-2024 16:37:05,11-05-2024 16:37:08,3.539s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Log in""))",Chrome 124.0.0.0,,,11-05-2024 16:37:08,11-05-2024 16:37:09,1.158s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Register""))",Chrome 124.0.0.0,,,11-05-2024 16:37:09,11-05-2024 16:37:10,0.507s,PASSED
"setText(findTestObject(""Object Repository/Page_QRWeb/input__username""), ""user7"")",Chrome 124.0.0.0,,,11-05-2024 16:37:10,11-05-2024 16:37:11,0.646s,PASSED
"setText(findTestObject(""Object Repository/Page_QRWeb/input__email""), ""user@gmail.com"")",Chrome 124.0.0.0,,,11-05-2024 16:37:11,11-05-2024 16:37:11,0.636s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_QRWeb/input__password1""), ""RigbBhfdqOALcqUsFYWzlQ=="")",Chrome 124.0.0.0,,,11-05-2024 16:37:11,11-05-2024 16:37:12,0.389s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_QRWeb/input__password2""), ""RigbBhfdqOALcqUsFYWzlQ=="")",Chrome 124.0.0.0,,,11-05-2024 16:37:12,11-05-2024 16:37:12,0.368s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/button_Create account""))",Chrome 124.0.0.0,,,11-05-2024 16:37:12,11-05-2024 16:37:18,6.045s,PASSED
