Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Profile_and_constructor_pages,Chrome 125.0.0.0,,,24-05-2024 17:06:03,24-05-2024 17:06:47,43.591s,PASSED
,,,,,,,
Test Cases/functional/register,Chrome 125.0.0.0,,,24-05-2024 17:06:04,24-05-2024 17:06:15,11.535s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 17:06:04,24-05-2024 17:06:06,1.822s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 17:06:06,24-05-2024 17:06:06,0.056s,PASSED
"navigateToUrl(""https://qr-web-h1fi.onrender.com/"")",Chrome 125.0.0.0,,,24-05-2024 17:06:06,24-05-2024 17:06:11,5.540s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Log in""))",Chrome 125.0.0.0,,,24-05-2024 17:06:11,24-05-2024 17:06:12,0.840s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Register""))",Chrome 125.0.0.0,,,24-05-2024 17:06:12,24-05-2024 17:06:13,0.470s,PASSED
"setText(findTestObject(""Object Repository/Page_QRWeb/input__username""), ""user7"")",Chrome 125.0.0.0,,,24-05-2024 17:06:13,24-05-2024 17:06:13,0.636s,PASSED
"setText(findTestObject(""Object Repository/Page_QRWeb/input__email""), ""user@gmail.com"")",Chrome 125.0.0.0,,,24-05-2024 17:06:13,24-05-2024 17:06:14,0.646s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_QRWeb/input__password1""), ""RigbBhfdqOALcqUsFYWzlQ=="")",Chrome 125.0.0.0,,,24-05-2024 17:06:14,24-05-2024 17:06:14,0.415s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_QRWeb/input__password2""), ""RigbBhfdqOALcqUsFYWzlQ=="")",Chrome 125.0.0.0,,,24-05-2024 17:06:14,24-05-2024 17:06:15,0.378s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/button_Create account""))",Chrome 125.0.0.0,,,24-05-2024 17:06:15,24-05-2024 17:06:15,0.454s,PASSED
,,,,,,,
Test Cases/functional/login,Chrome 125.0.0.0,,,24-05-2024 17:06:15,24-05-2024 17:06:28,13.192s,PASSED
