Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTest,Chrome 124.0.0.0,,,20-05-2024 13:50:30,20-05-2024 13:50:48,18.636s,FAILED
,,,,,,,
Test Cases/functional/register,Chrome 124.0.0.0,,,20-05-2024 13:50:39,20-05-2024 13:50:41,1.789s,FAILED
"openBrowser("""")",Chrome 124.0.0.0,,,20-05-2024 13:50:39,20-05-2024 13:50:40,0.799s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,20-05-2024 13:50:40,20-05-2024 13:50:40,0.124s,PASSED
"navigateToUrl(""https://qr-web-h1fi.onrender.com/"")",Chrome 124.0.0.0,,,20-05-2024 13:50:40,20-05-2024 13:50:41,0.751s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Log in""))",Chrome 124.0.0.0,,,20-05-2024 13:50:41,20-05-2024 13:50:41,0.086s,FAILED
,,,,,,,
Test Cases/functional/login,Chrome 124.0.0.0,,,20-05-2024 13:50:47,20-05-2024 13:50:48,1.640s,FAILED
"openBrowser("""")",Chrome 124.0.0.0,,,20-05-2024 13:50:47,20-05-2024 13:50:47,0.744s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,20-05-2024 13:50:47,20-05-2024 13:50:48,0.121s,PASSED
"navigateToUrl(""https://qr-web-h1fi.onrender.com/"")",Chrome 124.0.0.0,,,20-05-2024 13:50:48,20-05-2024 13:50:48,0.685s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Log in""))",Chrome 124.0.0.0,,,20-05-2024 13:50:48,20-05-2024 13:50:48,0.067s,FAILED
